,location,total_sqft,bath,price,BHK
0,1st Block Jayanagar,2850.0,4.0,42800000.0,4
1,1st Block Jayanagar,1630.0,3.0,19400000.0,3
2,1st Block Jayanagar,1875.0,2.0,23500000.0,3
3,1st Block Jayanagar,1200.0,2.0,13000000.0,3
4,1st Block Jayanagar,1235.0,2.0,14800000.0,2
5,1st Block Jayanagar,2750.0,4.0,41300000.0,4
6,1st Block Jayanagar,2450.0,4.0,36800000.0,4
7,1st Phase JP Nagar,1875.0,3.0,16700000.0,3
8,1st Phase JP Nagar,2065.0,4.0,21000000.0,3
9,1st Phase JP Nagar,2059.0,3.0,22500000.0,3
10,1st Phase JP Nagar,1394.0,2.0,10000000.0,2
11,1st Phase JP Nagar,1077.0,2.0,9300000.0,2
12,1st Phase JP Nagar,1566.0,2.0,18000000.0,2
13,1st Phase JP Nagar,840.0,2.0,5000000.0,1
14,1st Phase JP Nagar,1590.0,3.0,13100000.0,3
15,1st Phase JP Nagar,2180.0,3.0,21000000.0,3
16,1st Phase JP Nagar,1180.0,2.0,8850000.0,2
17,1st Phase JP Nagar,1200.0,2.0,8600000.0,2
18,1st Phase JP Nagar,1394.0,2.0,8500000.0,2
19,1st Phase JP Nagar,2077.0,3.0,17500000.0,3
20,1st Phase JP Nagar,1205.0,2.0,8500000.0,2
21,1st Phase JP Nagar,900.0,2.0,7500000.0,2
22,2nd Phase Judicial Layout,1450.0,2.0,5075000.0,3
23,2nd Phase Judicial Layout,1150.0,2.0,4025000.0,2
24,2nd Phase Judicial Layout,1350.0,2.0,4725000.0,3
25,2nd Phase Judicial Layout,1350.0,2.0,4725000.0,3
26,2nd Phase Judicial Layout,900.0,2.0,4100000.0,2
27,2nd Phase Judicial Layout,1681.0,3.0,6900000.0,3
28,2nd Phase Judicial Layout,1350.0,2.0,4725000.0,3
29,2nd Phase Judicial Layout,1150.0,2.0,4025000.0,2
30,2nd Stage Nagarbhavi,1500.0,4.0,22000000.0,4
31,2nd Stage Nagarbhavi,3000.0,8.0,45100000.0,6
32,2nd Stage Nagarbhavi,1350.0,4.0,20000000.0,4
33,2nd Stage Nagarbhavi,1500.0,3.0,23000000.0,4
34,5th Block Hbr Layout,1206.0,2.0,5600000.0,2
35,5th Block Hbr Layout,1270.0,2.0,7000000.0,3
36,5th Block Hbr Layout,1312.0,2.0,6900000.0,2
37,5th Block Hbr Layout,1100.0,2.0,4800000.0,2
38,5th Phase JP Nagar,1075.0,2.0,6000000.0,2
39,5th Phase JP Nagar,1150.0,3.0,5250000.0,2
40,5th Phase JP Nagar,1256.0,2.0,6280000.0,2
41,5th Phase JP Nagar,1207.0,2.0,6300000.0,2
42,5th Phase JP Nagar,1725.0,2.0,10000000.0,3
43,5th Phase JP Nagar,1440.0,2.0,6000000.0,2
44,5th Phase JP Nagar,1700.0,2.0,10000000.0,3
45,5th Phase JP Nagar,2500.0,5.0,11000000.0,5
46,5th Phase JP Nagar,600.0,1.0,3000000.0,1
